"variable","mean","median","sd","mad","q5","q95","rhat","ess_bulk","ess_tail"
"alpha[1]",0.0066590569825,0.008677245,0.060769226039133,0.059526768063,-0.095298025,0.10777255,1.00470243517087,367.079593922349,539.077320162907
"alpha[2]",-0.050814736065,-0.0486173,0.0651416780471102,0.06581861853,-0.1553002,0.058832005,1.00393263285305,307.860211056738,462.366355871766
"alpha[3]",-0.16020202255,-0.162449,0.0664629826016291,0.0692885697,-0.2646451,-0.04587708,1.0123007865818,208.031941141549,272.400379333551
"alpha[4]",0.066387984969125,0.06856425,0.0649821566860981,0.06625035165,-0.041239875,0.16986705,1.00585857101847,284.690232622505,486.407432294201
"alpha[5]",-0.123134399815,-0.1187875,0.0885495618258132,0.08889795621,-0.2704766,0.0203621449999998,1.01401122430969,211.071968970854,287.191715797177
"alpha[6]",-0.05035736766125,-0.04959575,0.0789228161512295,0.07365171324,-0.1836598,0.08670032,1.00343244715941,280.590608288741,461.538568801008
"alpha[7]",0.0215596037010375,0.02231565,0.07819478661994,0.0753242343,-0.1107187,0.1616982,1.02119330088856,217.612795322997,163.2630709897
"alpha[8]",0.054444411877125,0.05582215,0.0722174850060822,0.080225057556,-0.059155045,0.1730543,1.00882836272206,254.346382257391,498.889708581703
"alpha[9]",0.1050870205005,0.106147,0.071044887972453,0.07057902474,-0.015473175,0.2199702,0.99965374956014,222.764770028655,327.24805856654
"alpha[10]",-0.0199282299775,-0.0176997,0.0717855712003386,0.07185154032,-0.14452695,0.085497735,1.00750517982462,321.524104820884,391.566029338728
"alpha[11]",0.15965637873375,0.158109,0.0887957618694166,0.0864815406,0.013750195,0.3165139,1.00756489814512,278.072849984469,391.701777547591
"alpha[12]",0.22719340904625,0.220421,0.109210663760145,0.107392131,0.051184215,0.40375645,1.01867697578654,190.79765614919,311.987065181234
"alpha[13]",-0.12872263930875,-0.127494,0.0979216126016801,0.10297828254,-0.28233365,0.03275768,1.00406673133287,276.817787393109,473.953475512481
"alpha[14]",-0.0585319118325,-0.0591516,0.0863867032807852,0.081229963836,-0.20833245,0.0891920849999999,1.00185621462647,272.233624830659,449.738018988582
"alpha[15]",0.04799838831,0.0374065,0.107051052221537,0.11619247395,-0.11427145,0.22994555,1.0084358294204,186.159193007547,287.52168779047
"alpha[16]",-0.05943919008125,-0.06359465,0.0804250773648159,0.081903872253,-0.1829952,0.0731961999999999,1.01109801166144,221.854383896241,453.787917322496
"alpha[17]",-0.0216603707605,-0.02134975,0.0801202724182459,0.08527551963,-0.15199495,0.10581735,1.0062984750197,151.144296319475,483.87584425516
"alpha[18]",0.0448277776313,0.0457629,0.0717575648894514,0.07519984416,-0.0725546,0.1640365,1.00961091333866,201.720856932268,402.405715299949
"alpha[19]",0.06985196654375,0.07056955,0.0413635032258411,0.04039306635,-0.000109694199999999,0.13971865,1.00390809040003,335.446744073261,491.597392087662
"alpha[20]",-0.0119409632525,-0.01240345,0.0395708512711585,0.03808740096,-0.074146475,0.0515183,1.00151999292414,399.518214248148,395.520462439755
"alpha[21]",8.4120457325,7.110535,6.01251011198891,6.083723079,1.537878,19.80582,1.03365640524529,36.6296272621321,99.8063480381645
"alpha[22]",11.6350292,11.1436,4.88418734693083,5.189263086,4.806376,20.305095,1.0034798203887,479.251132034287,459.105489077658
"alpha[23]",11.13500755,10.11935,4.8871949003776,4.637824842,4.8541345,20.74589,1.00549647462095,446.84115592902,481.894907350616
"alpha[24]",11.535870725,10.50195,5.01683748368241,4.323958422,5.448364,21.23233,0.998880032827211,435.354480025836,434.598100303195
"alpha[25]",12.0617745875,11.48795,4.7102171860509,4.896634911,5.828146,20.596085,1.0000496018467,459.829159681627,612.578077367066
"alpha[26]",12.01321145,11.059,5.29017528334816,5.049698535,5.4476795,22.394125,0.999639682671034,459.151975035297,421.533305265396
"alpha[27]",1.8740702,1.85965,0.252875551370256,0.252723996,1.47535,2.301496,1.19520410384312,7.82028302743448,87.7987792168521
"alpha[28]",11.817658375,10.63415,5.41470989677889,4.58093748,5.289936,22.77596,1.01022690194702,446.017775017043,397.011107244324
"alpha[29]",6.31446612125,2.145985,6.02256821927137,1.8767114037,1.115165,17.540395,1.83433531632468,2.9636863954109,61.4166551516285
"alpha[30]",6.98127501875,2.622585,7.00965438818842,2.345895741,1.1375535,21.082065,1.84136251587694,2.93416727348626,186.435606260984
"alpha[31]",11.0911960125,9.829225,5.35797205043672,4.792712064,4.76577,20.966505,1.01233283283671,367.72213332723,384.66201121532
"alpha[32]",10.36758685,9.4202,5.51439766219211,5.22208785,3.5141675,21.0365,1.00290888503808,240.764681507676,165.149970367354
"alpha[33]",2.07773611875,1.489795,2.24516169081782,0.327610122,1.070457,6.375547,1.15347880222882,9.16559159604916,14.7763202822099
"alpha[34]",9.4042377,8.62465,5.46532181453568,5.334661668,1.5288915,18.95587,1.04785327133217,29.8858550538313,13.7622953591186
"alpha[35]",1.7256361575,1.26298,2.99316772230363,0.296431044,0.81958425,2.078323,1.03267761026754,114.746660458312,20.4510623232893
"alpha[36]",10.1476011,9.23196,5.82258722830159,5.603798046,3.0532215,21.22592,1.00824175288084,290.784026514991,212.669096351866
"alpha[37]",7.74337565,5.79605,5.74087477722536,4.510299003,1.9028705,19.54963,1.00705300839245,172.433801573939,458.772940435679
"alpha[38]",5.064673715,2.84761,4.78281294199574,1.740698421,1.396043,14.890455,1.0077495752592,135.318397075455,185.958821852544
"alpha[39]",8.1014082875,6.798825,5.64542593197731,5.684888853,1.5663915,18.91388,1.02630277258647,184.027810438702,415.641106980557
"alpha[40]",-4.365573575,-4.353705,0.169041041219255,0.156740472,-4.6848,-4.108194,1.03886984541332,44.261235187156,61.2481304374567
